,model,metric,precision,recall,f1-score,support,accuracy,data_approach
0,nb,0,0.352112676056338,0.6756756756756757,0.4629629629629629,37.0,0.6329113924050633,fg_maj
1,nb,1,0.8620689655172413,0.6198347107438017,0.721153846153846,121.0,0.6329113924050633,fg_maj
2,nb,accuracy,0.6329113924050633,0.6329113924050633,0.6329113924050633,0.6329113924050633,0.6329113924050633,fg_maj
3,nb,macro avg,0.6070908207867897,0.6477551932097387,0.5920584045584045,158.0,0.6329113924050633,fg_maj
4,nb,weighted avg,0.7426488217827261,0.6329113924050633,0.6606914241407912,158.0,0.6329113924050633,fg_maj
5,rf,0,0.5384615384615384,0.3783783783783784,0.4444444444444445,37.0,0.7784810126582279,fg_maj
6,rf,1,0.8257575757575758,0.9008264462809917,0.8616600790513834,121.0,0.7784810126582279,fg_maj
7,rf,accuracy,0.7784810126582279,0.7784810126582279,0.7784810126582279,0.7784810126582279,0.7784810126582279,fg_maj
8,rf,macro avg,0.6821095571095571,0.6396024123296851,0.653052261747914,158.0,0.7784810126582279,fg_maj
9,rf,weighted avg,0.7584793898085037,0.7784810126582279,0.7639576836054547,158.0,0.7784810126582279,fg_maj
10,svm,0,0.5,0.02702702702702703,0.05128205128205129,37.0,0.7658227848101266,fg_maj
11,svm,1,0.7692307692307693,0.9917355371900827,0.8664259927797834,121.0,0.7658227848101266,fg_maj
12,svm,accuracy,0.7658227848101266,0.7658227848101266,0.7658227848101266,0.7658227848101266,0.7658227848101266,fg_maj
13,svm,macro avg,0.6346153846153846,0.5093812821085548,0.45885402203091735,158.0,0.7658227848101266,fg_maj
14,svm,weighted avg,0.7061830574488802,0.7658227848101266,0.6755378545809474,158.0,0.7658227848101266,fg_maj
15,xgb,0,0.43478260869565216,0.2702702702702703,0.3333333333333333,37.0,0.7468354430379747,fg_maj
16,xgb,1,0.8,0.8925619834710744,0.8437500000000001,121.0,0.7468354430379747,fg_maj
17,xgb,accuracy,0.7468354430379747,0.7468354430379747,0.7468354430379747,0.7468354430379747,0.7468354430379747,fg_maj
18,xgb,macro avg,0.6173913043478261,0.5814161268706723,0.5885416666666667,158.0,0.7468354430379747,fg_maj
19,xgb,weighted avg,0.7144744083654376,0.7468354430379747,0.7242220464135022,158.0,0.7468354430379747,fg_maj
20,nb,0,0.421875,0.7297297297297297,0.5346534653465346,37.0,0.7025316455696202,fg_min
21,nb,1,0.8936170212765957,0.6942148760330579,0.7813953488372092,121.0,0.7025316455696202,fg_min
22,nb,accuracy,0.7025316455696202,0.7025316455696202,0.7025316455696202,0.7025316455696202,0.7025316455696202,fg_min
23,nb,macro avg,0.6577460106382979,0.7119723028813938,0.6580244070918719,158.0,0.7025316455696202,fg_min
24,nb,weighted avg,0.7831457884460006,0.7025316455696202,0.7236140216906588,158.0,0.7025316455696202,fg_min
25,rf,0,0.72,0.4864864864864865,0.5806451612903226,37.0,0.8354430379746836,fg_min
26,rf,1,0.8571428571428571,0.9421487603305785,0.8976377952755904,121.0,0.8354430379746836,fg_min
27,rf,accuracy,0.8354430379746836,0.8354430379746836,0.8354430379746836,0.8354430379746836,0.8354430379746836,fg_min
28,rf,macro avg,0.7885714285714285,0.7143176234085324,0.7391414782829565,158.0,0.8354430379746836,fg_min
29,rf,weighted avg,0.8250271247739602,0.8354430379746836,0.8234053430132175,158.0,0.8354430379746836,fg_min
30,svm,0,0.0,0.0,0.0,37.0,0.7658227848101266,fg_min
31,svm,1,0.7658227848101266,1.0,0.8673835125448028,121.0,0.7658227848101266,fg_min
