,model,metric,precision,recall,f1-score,support,accuracy,data_approach
0,nb,0,0.3333333333333333,0.5,0.4,10.0,0.6052631578947368,fg_maj
1,nb,1,0.782608695652174,0.6428571428571429,0.7058823529411765,28.0,0.6052631578947368,fg_maj
2,nb,accuracy,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,0.6052631578947368,fg_maj
3,nb,macro avg,0.5579710144927537,0.5714285714285714,0.5529411764705883,38.0,0.6052631578947368,fg_maj
4,nb,weighted avg,0.6643783371472158,0.6052631578947368,0.6253869969040248,38.0,0.6052631578947368,fg_maj
5,rf,0,0.5,0.4,0.4444444444444445,10.0,0.7368421052631579,fg_maj
6,rf,1,0.8,0.8571428571428571,0.8275862068965518,28.0,0.7368421052631579,fg_maj
7,rf,accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,fg_maj
8,rf,macro avg,0.65,0.6285714285714286,0.6360153256704981,38.0,0.7368421052631579,fg_maj
9,rf,weighted avg,0.7210526315789474,0.7368421052631579,0.726759427303892,38.0,0.7368421052631579,fg_maj
10,svm,0,0.0,0.0,0.0,10.0,0.7368421052631579,fg_maj
11,svm,1,0.7368421052631579,1.0,0.8484848484848484,28.0,0.7368421052631579,fg_maj
12,svm,accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,fg_maj
13,svm,macro avg,0.3684210526315789,0.5,0.4242424242424242,38.0,0.7368421052631579,fg_maj
14,svm,weighted avg,0.5429362880886427,0.7368421052631579,0.6251993620414672,38.0,0.7368421052631579,fg_maj
15,xgb,0,0.5,0.3,0.37499999999999994,10.0,0.7368421052631579,fg_maj
16,xgb,1,0.78125,0.8928571428571429,0.8333333333333334,28.0,0.7368421052631579,fg_maj
17,xgb,accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,fg_maj
18,xgb,macro avg,0.640625,0.5964285714285714,0.6041666666666666,38.0,0.7368421052631579,fg_maj
19,xgb,weighted avg,0.7072368421052632,0.7368421052631579,0.7127192982456141,38.0,0.7368421052631579,fg_maj
20,nb,0,0.5,0.5,0.5,10.0,0.7368421052631579,fg_min
21,nb,1,0.8214285714285714,0.8214285714285714,0.8214285714285714,28.0,0.7368421052631579,fg_min
22,nb,accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,fg_min
23,nb,macro avg,0.6607142857142857,0.6607142857142857,0.6607142857142857,38.0,0.7368421052631579,fg_min
24,nb,weighted avg,0.7368421052631579,0.7368421052631579,0.7368421052631579,38.0,0.7368421052631579,fg_min
25,rf,0,0.875,0.7,0.7777777777777777,10.0,0.8947368421052632,fg_min
26,rf,1,0.9,0.9642857142857143,0.9310344827586207,28.0,0.8947368421052632,fg_min
27,rf,accuracy,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,0.8947368421052632,fg_min
28,rf,macro avg,0.8875,0.8321428571428571,0.8544061302681991,38.0,0.8947368421052632,fg_min
29,rf,weighted avg,0.893421052631579,0.8947368421052632,0.8907037709215566,38.0,0.8947368421052632,fg_min
30,svm,0,0.0,0.0,0.0,10.0,0.7368421052631579,fg_min
31,svm,1,0.7368421052631579,1.0,0.8484848484848484,28.0,0.7368421052631579,fg_min
32,svm,accuracy,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,0.7368421052631579,fg_min
33,svm,macro avg,0.3684210526315789,0.5,0.4242424242424242,38.0,0.7368421052631579,fg_min
34,svm,weighted avg,0.5429362880886427,0.7368421052631579,0.6251993620414672,38.0,0.7368421052631579,fg_min
35,xgb,0,1.0,0.7,0.8235294117647058,10.0,0.9210526315789473,fg_min
36,xgb,1,0.9032258064516129,1.0,0.9491525423728813,28.0,0.9210526315789473,fg_min
37,xgb,accuracy,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473,0.9210526315789473,fg_min
38,xgb,macro avg,0.9516129032258065,0.85,0.8863409770687936,38.0,0.9210526315789473,fg_min
39,xgb,weighted avg,0.9286926994906621,0.9210526315789473,0.9160938237917825,38.0,0.9210526315789473,fg_min
40,nb,0,0.35,0.7,0.4666666666666667,10.0,0.5789473684210527,macro
41,nb,1,0.8333333333333334,0.5357142857142857,0.6521739130434783,28.0,0.5789473684210527,macro
42,nb,accuracy,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,0.5789473684210527,macro
43,nb,macro avg,0.5916666666666667,0.6178571428571429,0.5594202898550724,38.0,0.5789473684210527,macro
44,nb,weighted avg,0.7061403508771931,0.5789473684210527,0.6033562166285279,38.0,0.5789473684210527,macro
